sequence,scene,amount
2019-03-14,sh600721,7.1
2019-03-14,sh600722,5.51
2019-03-14,sh600723,7.01
2019-03-14,sh600724,3.96
2019-03-14,sh600725,2.66
2019-03-14,sh600726,2.7
2019-03-14,sh600727,6.82
2019-03-14,sh600728,11.54
2019-03-14,sh600729,32.28
2019-03-14,sh600730,6.33
2019-03-14,sh600731,5.36
2019-03-14,sh600732,5.77
2019-03-14,sh600733,8.69
2019-03-14,sh600734,8.92
2019-03-14,sh600735,6.9
2019-03-14,sh600736,7.83
2019-03-14,sh600737,8.91
2019-03-14,sh600738,7.39
2019-03-14,sh600739,15.1
2019-03-14,sh600740,9.21
2019-03-14,sh600741,21.5
2019-03-14,sh600742,11.76
2019-03-14,sh600743,3.09
2019-03-14,sh600744,3.68
2019-03-14,sh600745,28.7
2019-03-14,sh600746,7.07
2019-03-14,sh600747,1.51
2019-03-14,sh600748,9.3
2019-03-14,sh600749,10.01
2019-03-14,sh600750,17.95
2019-03-14,sh600751,3.97
2019-03-12,sh600752,0.0
